rh_id,n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet
RH_fiche_379_,,,31,Toulouse,,LA FABRIQUE SOLIDAIRE DES MINIMES (FA SOL MI),,31200,1  rue Van Dyck,,,,PRV. ASSOCIATION,Association,,05 67 00 66 73 - 06 26 92 28 59,direction@lafabriquesolidaire.org,
RH_fiche_380_,,,31,Toulouse,,LA CANTINE QUAI DES SAVOIRS,,31000,39 Allées Jules Guesdes,,,,PRV. ASSOCIATION,LA MELEE,,06 07 05 19 70,p.cointepas@lamelee.com,
RH_fiche_381_,,,31,Toulouse,,NOVA MELEE AUBUISSON,,31000,27 Rue d’Aubuisson,,,,PRV. ASSOCIATION,LA MELEE,,06 07 05 19 70,p.cointepas@lamelee.com,
RH_fiche_382_,,,31,Toulouse,,EMERGENCE PLUS - DYNAMIQUE TOULOUSE NORD,,31200,2 rue Ernest Renan,,,,PRV. ASSOCIATION,EMERGENCE PLUS,,05 34 51 63 70,contact@emergence-plus.com,
RH_fiche_383_,,,31,Toulouse,,ARTILECT,,31300,27 bis allée Maurice Sarraut,,,,PRV. ASSOCIATION,ASSOCIATION ARTILECT,,,nicolas.lassabe@artilect.fr,
RH_fiche_384_,,,31,Toulouse,,FABLAB LE PROPULSEUR,,31400,39 Allées Jules Guesde,,,,PRV. ASSOCIATION,ASSOCIATION SCIENCES ANIMATION,,,johan.langot@science-animation.org,
RH_fiche_385_,,,31,Toulouse,,ETINCELLE COWORKING TOULOUSE,,31300,2  rue d'Austerlitz,,4375719,301 926,PRV. SARL,SARL ETINCELLE TOULOUSE,,05 64 88 01 30 - 06 25 02 44 11,sebastien@etincelle-coworking.com,
RH_fiche_386_,,,31,Toulouse,,Ô LOCAL,,31500,8  impasse Bonnet,,438682,1 500 555,PRV. SAS,NOFOMO,,09 52 91 10 10 - 06 49 88 39 79,contact@olocal.fr,
RH_fiche_387_,,,31,Toulouse,,HARRYCOW,,31000,13 rue Sainte Ursule,,,,PRV. SAS,HARRYCOW,,06 75 43 56 69,harry.coworking@gmail.com,
RH_fiche_388_,,,31,Toulouse,,TL LES IMAGINATIONS FERTILES,,31300,27 bis Allées Maurice Sarraut,,,,PRV. SCIC,LES IMAGINATIONS FERTILES,,06 75 55 72 08,a.gaigneux@imaginationsfertiles.fr,
RH_fiche_389_,,,31,Toulouse,,Association Diapason,,31100,,,,,Association,,,,,
RH_fiche_390_,,,31,Toulouse,,Foyer Jeune Travailleur Jolimont,,31500,,,,,,,,05 34 30 42 80,,
RH_fiche_391_,,,31,Toulouse,,TO7,,,,,,,Association,,Association,,to7@to7.org,
RH_fiche_392_,,,31,Tournefeuille,,Mediatheque Tournefeuille,,31170,3 impasse Max Baylac,,,,,,Mairie,05 62 13 21 78,ecm@mairie-tournefeuille.fr,http://www.mairie-tournefeuille.fr/
RH_fiche_393_,,,31,Tournefeuille,,AGEAH - Maison des Associations Tournefeuille,,,,,,,,,,,,
RH_fiche_394_,,,65,Trie sur baïse,,Espace Public Informatique,,65220,31 place de la mairie,,,,,,,05 62 35 06 09,communication@ccptm.fr,
RH_fiche_395_,,,65,Trie sur baïse,,restos du cœur,,65220,3 place de la Mairie,,,,Association,,,,,
RH_fiche_396_,,,65,Trie sur baïse,,MSAP,,65220,31 place de la mairie,,,,,,,05 62 35 66 00,communication@ccptm.fr,
RH_fiche_397_,,,65,Trie sur baïse,,Coteaux,PETR des coteaux,65220,31 Place de la Mairie,,,,,,Collectivité,,pointpublic.coteaux@orange.fr,
RH_fiche_398_,,,65,Trie sur baïse,,EPI de Trie sur Baïse,,65220,,,,,,,,,epi.trie@wanadoo.fr,
RH_fiche_399_,,,31,Venerque,,Service Jeunesse Léo Lagrange Venerque,,31810,14  avenue du Mont Frouzi,,,,,,Mairie,,,https://www.facebook.com/Service-Jeunesse-CCLAG-177831365607843/
RH_fiche_400_,,,65,Vic en Bigorre,,Maison des Jeunes et de la Culture,,65500,17 Rue Barère de Vieuzac,,,,,,FIGO Centre social,05 62 31 61 00 / 06 52 96 20 05,,www.mjcvic.fr
RH_fiche_401_,,,65,Vic en Bigorre,,Vic-en-Bigorre,CC Adour Madiran,65500,21 Place du Corps Franc Pommies,,,,,,Collectivité,,,
RH_fiche_402_,,,65,Vic en Bigorre,,Restos du Cœur,,65500,17 rue Barrère de Vieuzac,,,,Association,,Association,,,
RH_fiche_403_,,,65,Vic en Bigorre,,Communauté de communes Adour Madiran Pôle de Services Publics,,65500,MSAP 21 place Corps Franc pommiès,,,,Collectivités,,,05 62 31 68 84,contact@adour-madiran.fr,
RH_fiche_404_,,,65,Vic en Bigorre,,Maison Départementale de la Solidarité,,65500,445 avenue J Fourcade,,,,Collectivités,,,05 62 96 74 23,,
RH_fiche_405_,,,65,Vic en Bigorre,,MJC,,65500,17 rue Barrère de Vieuzac,,,,,,,05 62 31 61 00,,
RH_fiche_406_,,,65,Vic en Bigorre,,Médiathèque Adour Madiran,,65500,Quai Rossignol,,,,,,,05 62 43 05 25,,
RH_fiche_407_,,,32,Vic Fezensac,,Vic Accueil,,32190,13 Rue Jean Jaurès,,,,,,FIGO Centre social,,,http://www.vic-accueil.fr
RH_fiche_408_,,,32,Vic Fezensac,,Artagnan en Fezensac,Communauté de Communes Artagnan en Fezensac,32190,18 Rue des Cordeliers,,,,,,Collectivité,,ccommunes.dartagnan.fezensac@wanadoo.fr,
RH_fiche_409_,,,31,Villemur sur tarn,,Val Aïgo - Villemur-sur-Tarn,Communauté de communes Val'Aïgo,31340,2 avenue Saint Exupéry,,,,,,Collectivité,,cias@valaigo.fr,
RH_fiche_410_,,,11,,,Event Orizon,,,,,,,,,,,,
RH_fiche_411_,,,11,,,Tiers-lieu « l’oppidum »,,,,,,,,,,,epops-biodiversite@laposte.net,
RH_fiche_412_,,,11,,,MEDIATHEQUE GRAIN D’SEL,,,,,,,,,,,mediatheque@caracassonne-agglo.fr,
RH_fiche_413_,,,11,,,Maison de Services au Public de Chalabre,,,,,,,,,MSAP,,msap.chalabre@laposte.fr,
RH_fiche_414_,,,11,,,Maison de Services au Public d’Axat,,,,,,,,,MSAP,,msap.axat@laposte.fr,
RH_fiche_415_,,,11,,,Maison de Services au Public de Belcaire,,,,,,,,,MSAP,,msap.belcaire@laposte.fr,
RH_fiche_416_,,,11,,,Maison de Services au Public de Belvèze-du-Razès,,,,,,,,,MSAP,,msap.belveze-du-razes@laposte.fr,
RH_fiche_417_,,,11,,,Maison de Services au Public de Couiza,,,,,,,,,MSAP,,msap.couiza@laposte.fr,
RH_fiche_418_,,,11,,,Maison de Services au Public de Villasavary,,,,,,,,,MSAP,,mairie-de-villasavary@wanadoo.fr,
RH_fiche_419_,,,11,,,Maison des Potes,,,,,,,,,,,mdpnarbonne11@gmail.com,
RH_fiche_420_,,,11,,,L'Arche,,,,,,,,,,,arche.narbonne@gmail.com,
RH_fiche_421_,,,11,,,Centre Social et Culturel NELSON MANDELA,,,,,,,,,Centre social,,centresocialnarbonne@gmail.com,
RH_fiche_422_,,,11,,,EPN Ecole de la seconde chance,,,,,,,,,,,,
RH_fiche_423_,,,11,,,MAISON DIGITALE DU CIDFF,,,,,,,,,,,lri.narbonne@cidff.fr,
RH_fiche_424_,,,11,,,LA BULLE DU WEB (WAW-coworking)),,,,,,,,,,,hello@labulleweb.com,
RH_fiche_425_,,,11,,,Ecole de la 2ème Chance Régionale,,,,,,,,,,,er2c@ligue11.org,
RH_fiche_426_,,,11,,,Maison de services au public Caunes-Minervois,,,,,,,,,MSAP,,msap.caunes-minervois@laposte.fr,
RH_fiche_427_,,,11,,,Maison de services au public Durban-Corbières,,,,,,,,,MSAP,,msap.durban-corbieres@laposte.fr,
RH_fiche_428_,,,11,,,Office de Tourisme Intercommunal au Cœur des Collines Cathares,,,,,,,,,Collectivites,,tourisme@ccplm.fr,
RH_fiche_429_,,,11,,,Médiathèque Municipale de Palaja,,,,,,,,,,,,
RH_fiche_430_,,,11,,,Médiathèque d'Alzonne,,,,,,,,,,,mediatheque@carcassonne-agglo.fr,
RH_fiche_431_,,,11,,,Maison de services au public - Piemont d'Alaric,,,,,,,,,MSAP,,msap@piemont-alaric.fr,
RH_fiche_432_,,,11,,,Le Chai : Espace culturel,,,,,,,,,,,lechai@piemont-alaric.fr,
RH_fiche_433_,,,11,,,Mairie d'Axat,,,,,,,,,,,mairie.axat@axat.fr,
RH_fiche_434_,,,11,,,Médiathèque du Pays de Sault,,,,,,,,,,,media.espezel@gmail.com,
RH_fiche_435_,,,11,,,Bibliothèque Municipale de Chalabre,,,,,,,,,,,epn@pyreneesaudoises.fr,
RH_fiche_436_,,,11,,,Médiathèque d'Espéraza,,,,,,,,,,,bibliotheque_esperaza@Yahoo.fr,
RH_fiche_437_,,,11,,,Maison de services au public POM'S de Villerouge-Termenès,,,,,,,,,MSAP,,poms.villerouge@orange.fr,
RH_fiche_438_,,,11,,,Maison de services au public Tuchan,,,,,,,,,MSAP,,msap.tuchan@laposte.fr,
RH_fiche_439_,,,11,,,Médiathèque de Trèbes,,,,,,,,,,,bibliotheque-trebes@wanadoo.fr,
RH_fiche_440_,,,11,,,Médiathèque de Saint-Laurent de la Cabrerisse,,,,,,,,,,,mediathequeslc11@orange.fr,
RH_fiche_441_,,,11,,,Médiathèque Milcom de Saint-André de Roquelongue,,,,,,,,,,,mediatheque-st-andre@wanadoo.fr,
RH_fiche_442_,,,11,,,Espace Public Numérique de la MLIDR11 Limoux,,,,,,,,,,,mli.dr11@wanadoo.fr,
RH_fiche_443_,,,11,,,Maison de services au public POM'S Laroque de Fa,,,,,,,,,MSAP,,poms.laroquedefa@orange.fr,
RH_fiche_444_,,,11,,,Maison de services au public POM'S de Lanet,,,,,,,,,MSAP,,poms.lanet@orange.fr,
RH_fiche_445_,,,11,,,ADHCo Centre Social,,,,,,,,,Centre social,,adhco.developpement@orange.fr,
RH_fiche_446_,,,11,,,Maison de services au public POM'S de Mouthoumet,,,,,,,,,MSAP,,poms.mouthoumet@orange.fr,
RH_fiche_447_,,,11,,,Maison de services au public POM'S de Félines-Termenès,,,,,,,,,MSAP,,poms.felines@orange.fr,
RH_fiche_448_,,,11,,,Mission Locale Ouest Audois,,,,,,,,,,,accueil.castelnaudary@mloa.fr,
RH_fiche_449_,,,11,,,Médiathèque Georges Canguilhem,,,,,,,,,,,mediatheques@cccla.fr,
RH_fiche_450_,,,11,,,Espace de co-oworking : L'Alpha'[R],,,,,,,,,,,rmine@carcassonne-agglo.fr,
RH_fiche_451_,,,11,,,Ateliers Canopé,,,,,,,,,,,contact.atelier11@reseau-canope.fr,
RH_fiche_452_,,,31,,,Adens,,,,,,,Entreprise,,Entreprise,,,http://adens.org/qui-sommes-nous/
RH_fiche_453_,,,31,,,Point info famille,,,,,,,,,,,,
RH_fiche_454_,,,31,,,DigiJeunes,,,,,,,,,,,,
RH_fiche_455_,,,31,,,centre culturel des chamois,,,,,,,,,Centre social,,accueil.chamois@mairie-toulouse.fr,
RH_fiche_456_,,,31,,,Pavillon Sauvages,,,,,,,,,,,,
RH_fiche_457_,,,32,,,Cultures portes de gascogne,,,,,,,Association,,Association,,,
RH_fiche_458_,,,32,,,Kopané,,,,,,,,,,,,
RH_fiche_459_,,,32,,,Accueil jeunes de Gimont,,,,,,,,,,,,
